# 측정 환경: 데모 스택(custom_idp/server/wallet_agent)을 정지한 통제 상태. 로드 평균 0.47/16코어, node v22.20.0.
# 참고: 같은 스크립트를 스택이 떠 있는 상태에서 돌린 값과 오차 범위 안에서 같았다
#       (pi_arid_i 290.6 vs 300.2). 즉 초안의 201.30 ms와의 차이는 호스트 부하가 원인이 아니다.
# Mode 2 세 회로를 한 실행 안에서 순차로 돌린 결과. pi_pk_i는 폐기 이중 트리(v3) 판이다.
# per-run 합은 run별로 세 회로 시간을 더한 값이다(회로별 평균의 합이 아니다).
circuit,run,duration_ms,proof_json_bytes
pi_ppid,1,693.3,727
pi_arid_i,1,504.7,723
pi_pk_i,1,721.0,720
pi_ppid,2,106.2,722
pi_arid_i,2,321.4,726
pi_pk_i,2,524.7,722
pi_ppid,3,99.1,722
pi_arid_i,3,327.2,723
pi_pk_i,3,503.3,724
pi_ppid,4,114.3,727
pi_arid_i,4,289.0,723
pi_pk_i,4,498.4,722
pi_ppid,5,95.0,727
pi_arid_i,5,299.1,721
pi_pk_i,5,493.6,722
pi_ppid,6,111.8,724
pi_arid_i,6,300.2,723
pi_pk_i,6,510.0,721
pi_ppid,7,101.0,723
pi_arid_i,7,294.6,723
pi_pk_i,7,505.9,721
pi_ppid,8,94.2,721
pi_arid_i,8,295.8,721
pi_pk_i,8,525.7,724
pi_ppid,9,95.0,723
pi_arid_i,9,280.2,723
pi_pk_i,9,522.6,722
pi_ppid,10,103.2,722
pi_arid_i,10,294.3,723
pi_pk_i,10,508.4,727
sum_of_three,1,1919.1,
sum_of_three,2,952.3,
sum_of_three,3,929.6,
sum_of_three,4,901.8,
sum_of_three,5,887.7,
sum_of_three,6,922.0,
sum_of_three,7,901.5,
sum_of_three,8,915.6,
sum_of_three,9,897.8,
sum_of_three,10,905.9,
