# Mode 2 세 회로를 한 실행 안에서 순차로 돌린 결과. pi_pk_i는 폐기 이중 트리(v3) 판이다.
# per-run 합은 run별로 세 회로 시간을 더한 값이다(회로별 평균의 합이 아니다).
circuit,run,duration_ms,proof_json_bytes,verify_ms,public_inputs
pi_ppid,1,434.6,722,11.9,2
pi_arid_i,1,319.2,725,14.9,8
pi_pk_i,1,527.8,726,15.5,9
pi_ppid,2,71.5,725,10.7,2
pi_arid_i,2,248.2,718,11.3,8
pi_pk_i,2,450.4,725,16.0,9
pi_ppid,3,67.3,723,10.6,2
pi_arid_i,3,260.1,722,13.9,8
pi_pk_i,3,451.9,724,15.2,9
pi_ppid,4,66.4,717,10.3,2
pi_arid_i,4,237.4,721,12.9,8
pi_pk_i,4,458.2,725,14.4,9
pi_ppid,5,66.6,722,10.2,2
pi_arid_i,5,239.0,723,13.7,8
pi_pk_i,5,449.4,723,13.8,9
pi_ppid,6,68.2,720,11.8,2
pi_arid_i,6,245.4,721,14.6,8
pi_pk_i,6,455.0,724,15.3,9
pi_ppid,7,65.0,723,10.3,2
pi_arid_i,7,236.6,724,13.6,8
pi_pk_i,7,453.4,721,14.3,9
pi_ppid,8,62.9,722,10.7,2
pi_arid_i,8,239.0,719,14.2,8
pi_pk_i,8,443.0,723,15.2,9
pi_ppid,9,76.1,724,11.6,2
pi_arid_i,9,259.9,720,16.6,8
pi_pk_i,9,449.8,722,15.2,9
pi_ppid,10,66.5,721,10.1,2
pi_arid_i,10,239.4,723,14.1,8
pi_pk_i,10,447.2,725,15.4,9
sum_of_three,1,1281.6,,,
sum_of_three,2,770.1,,,
sum_of_three,3,779.3,,,
sum_of_three,4,762.0,,,
sum_of_three,5,755.0,,,
sum_of_three,6,768.7,,,
sum_of_three,7,755.0,,,
sum_of_three,8,744.9,,,
sum_of_three,9,785.9,,,
sum_of_three,10,753.1,,,
