circuit,public_input_name,public_input_value,num_public_inputs,proof_bytes_onchain,public_signals_bytes_onchain,total_calldata_bytes_onchain
pi_arid_i,uid,118953725641876790973836593,6,256,192,448
pi_arid_i,arid_i,60773739324100868184756423396600918540155914005648928180224865,6,256,192,448
pi_arid_i,auid_i,6133387517175303177609902378730121760007007192371508743483637116261039306689,6,256,192,448
pi_arid_i,max_height,1000,6,256,192,448
pi_arid_i,token_nonce,8482724920543400151808417076856529145999160742175863426599740925168807670940,6,256,192,448
pi_arid_i,auid,19655370954044401170568027649874961387725008320692343465559606044607694329575,6,256,192,448
pi_ppid,rid,118953725641876778088934705,2,256,64,320
pi_ppid,ppid,15175131989237175226346509109569387332082941255612763489678733800751783898617,2,256,64,320
pi_pk_i,pk_i,334652763889,5,256,160,416
pi_pk_i,pk_IdP_x,14502179446420588230277211547602448876624297438982896310576007446848614078967,5,256,160,416
pi_pk_i,pk_IdP_y,18408208496475800922947379057339402180008643695213127056840384848700025575353,5,256,160,416
pi_pk_i,PPID,45869168889874795271525458081837909965888553957245384229599986865626944320,5,256,160,416
pi_pk_i,max_height,1000,5,256,160,416
