# 샤딩 축별 부수 무효화. DAU=100000000 revokeRate=0.001 trials=3000 seed=1
# anyRate = 수명 동안 내 증명이 한 번이라도 무효화될 확률
shards,scenario,axis,revocations_per_lifetime,any_rate,mean,p50,p95,p99,max
4096,uniform,max_height,4611,0.8253,1.7147,2,4,5,9
4096,uniform,uid_hash,4611,0.6817,1.1767,1,3,4,6
4096,uniform,uid_range,4611,0.6867,1.1693,1,3,4,6
4096,session-wave,max_height,4611,0.0307,1.7573,0,0,61,74
4096,session-wave,uid_hash,4611,0.6840,1.1863,1,3,5,7
4096,session-wave,uid_range,4611,0.6857,1.1467,1,3,4,6
4096,cohort-burst,max_height,4611,0.8300,1.7383,2,4,5,8
4096,cohort-burst,uid_hash,4611,0.6767,1.1630,1,3,4,7
4096,cohort-burst,uid_range,4611,0.0003,0.2047,0,0,0,614
256,uniform,max_height,4611,1.0000,18.1230,18,26,28,34
256,uniform,uid_hash,4611,1.0000,18.2153,18,26,29,36
256,uniform,uid_range,4611,1.0000,18.0183,18,25,29,36
256,session-wave,max_height,4611,0.3003,17.2370,0,65,71,81
256,session-wave,uid_hash,4611,1.0000,18.0573,18,25,28,33
256,session-wave,uid_range,4611,1.0000,17.9860,18,25,28,32
256,cohort-burst,max_height,4611,1.0000,17.9900,18,25,29,35
256,cohort-burst,uid_hash,4611,1.0000,17.9487,18,25,28,34
256,cohort-burst,uid_range,4611,0.0047,21.5180,0,0,0,4611
4096,txgap:uniform,max_height,4611,0.0467,0.0000,0,0,0,0
4096,txgap:uniform,uid_hash,4611,0.0327,0.0000,0,0,0,0
4096,txgap:uniform,uid_range,4611,0.0357,0.0000,0,0,0,0
4096,txgap:session-wave,max_height,4611,0.0010,0.0000,0,0,0,0
4096,txgap:session-wave,uid_hash,4611,0.0223,0.0000,0,0,0,0
4096,txgap:session-wave,uid_range,4611,0.0213,0.0000,0,0,0,0
4096,txgap:cohort-burst,max_height,4611,0.0540,0.0000,0,0,0,0
4096,txgap:cohort-burst,uid_hash,4611,0.0307,0.0000,0,0,0,0
4096,txgap:cohort-burst,uid_range,4611,0.0003,0.0000,0,0,0,0
4096,deployed:uniform,max_height,4611,0.8290,1.7370,2,4,5,7
256,deployed:uniform,uid_hash,4611,1.0000,18.0480,18,25,29,36
4096,deployed:session-wave,max_height,4611,0.0353,2.0537,0,0,63,77
256,deployed:session-wave,uid_hash,4611,1.0000,18.1503,18,26,29,34
4096,deployed:cohort-burst,max_height,4611,0.8223,1.7333,2,4,5,7
256,deployed:cohort-burst,uid_hash,4611,1.0000,18.0540,18,25,29,41
